# %ECSV 0.9
# ---
# datatype:
# - {name: meta_ID, datatype: int64}
# - {name: src_names, datatype: string}
# - {name: significance, datatype: float32}
# - {name: ra, datatype: float32}
# - {name: dec, datatype: float32}
# - {name: NEW_SOURCE, datatype: uint16}
# - {name: ISGRI_FLAG, datatype: int64}
# - {name: FLAG, datatype: int64}
# - {name: ERR_RAD, datatype: float64}
# meta: !!omap
# - {FRAME: fk5}
# - {LAT_NAME: dec}
# - {COORD_UNIT: deg}
# - {LON_NAME: ra}
# schema: astropy-2.0
meta_ID src_names significance ra dec NEW_SOURCE ISGRI_FLAG FLAG ERR_RAD
116 "IGR J17375-3022" 0.997241 264.391 -30.3876 0 1 0 0.000969999993686
117 "IGR J17379-3747" 0.712909 264.495 -37.7721 0 2 0 0.000390000001062
118 "SLX 1735-269" 0.812073 264.571 -26.9941 0 2 0 0.000169999999343
119 "4U 1735-444" 0.248405 264.743 -44.45 0 2 0 0.000280000007479
120 "IGR J17391-3021" 0.168526 264.798 -30.3438 0 2 0 0.000280000007479
121 "AX J1739.3-2923" 0.115367 264.829 -29.3983 0 1 0 0.01600000076
122 "IGR J17394-3007" 2.08503 264.861 -30.121 0 1 0 0.070000000298
123 "GRS 1736-297" 0.448891 264.888 -29.7239 0 1 0 0.0166699998081
124 "XTE J1739-285" 2.43884 264.975 -28.4963 0 2 0 2.99999992421e-05
125 "AX J1740.2-2903" 0.530894 265.074 -29.0656 0 1 0 0.01600000076
126 "IGR J17404-3655" 0.671232 265.112 -36.9271 0 2 0 0.000269999989541
127 "SLX 1737-282" 0.660898 265.163 -28.2967 0 1 0 0.00583000015467
128 "IGR J17407-2808" 0.0030736 265.175 -28.124 0 2 0 0.000190000006114
129 "IGR J17410-4156" 1.19039 265.247 -41.934 0 1 0 0.0783300027251
130 "IGR J17413-1912" 0.0 0.0 0.0 0 1 0 0.0649999976158
131 "IGR J17413-2344" 1.37972 265.318 -23.748 0 1 0 0.0716700032353
132 "IGR J17419-2802" 0.816937 265.483 -28.0318 0 1 0 0.000969999993686
133 "IGR J17427-3018" 0.0599079 265.67 -30.3767 0 1 0 0.00121999997646
134 "XTE J1743-363" 0.52809 265.755 -36.3728 0 2 0 0.000169999999343
135 "1E 1740.7-2942" 2.87943 265.978 -29.7452 0 2 0 2.99999992421e-05
136 "IGR J17445-2747" 1.2786 266.117 -27.7558 0 1 0 0.00141000002623
137 "IGR J17448-3232" 0.757622 266.156 -32.5389 0 1 0 0.00110999995377
138 "KS 1741-293" 1.13099 266.233 -29.3519 0 1 0 0.00999999977648
139 "GRS 1741.9-2853" 0.00985153 266.26 -28.9139 0 2 0 0.000140000003739
140 "IGR J17453-2853" -28.9139 266.26 -28.9139 0 2 0 0.000140000003739
141 "SWIFT J174510.8-2624" 0.418907 266.294 -26.4041 0 2 0 0.000609999988228
142 "IGR J17454-2703" 0.218521 266.329 -27.0389 0 1 0 0.0166699998081
143 "IGR J17456-2901b" 0.786436 266.413 -29.0289 0 1 0 0.033330000937
144 "IGR J17456-2901" 0.0567333 266.427 -28.9911 0 1 0 0.0125000001863
145 "1E 1742.8-2853" -28.9136 266.5 -28.9136 0 2 0 0.000280000007479
146 "1A 1742-294" 1.87934 266.523 -29.5153 0 2 0 0.000280000007479
147 "IGR J17461-2853" 0.0731552 266.525 -28.8819 0 1 0 0.00999999977648
148 "IGR J17461-2204" 0.805679 266.533 -22.0589 0 1 0 0.0616700015962
149 "IGR J17464-3213" 1.7817 266.567 -32.2331 0 1 0 0.00332999997772
150 "1E 1743.1-2843" 1.94239e-08 266.587 -28.7289 0 2 0 0.000419999996666
151 "1RXS J174607.8-21333" 1.43214 266.6 -21.55 0 1 0 0.00332999997772
152 "IGR J17467-2848" 0.195148 266.683 -28.805 0 1 0 0.066660001874
153 "IGR J17468-2902" 0.0471496 266.69 -29.045 0 1 0 0.066660001874
154 "1A 1743-288" 0.371646 266.761 -28.883 0 2 0 2.99999992421e-05
155 "IGR J17464-2811" 1.28512 266.817 -28.18 0 2 0 0.000140000003739
156 "IGR J17473-2721" 1.75453 266.825 -27.3441 0 2 0 0.000220000001718
157 "IGR J17475-2822" 0.410061 266.829 -28.4 0 1 0 0.0166699998081
158 "SLX 1744-299" 0.823016 266.858 -30.0206 0 1 0 0.00282999989577
159 "IGR J17476-2253" 0.895414 266.875 -22.8787 0 1 0 0.00132999999914
160 "IGR J17479-2807" 0.0263393 266.982 -28.121 0 1 0 0.0149999996647
161 "GX 3+1" 0.656452 266.983 -26.5636 0 2 0 0.000829999975394
162 "EXO 1745-248" 0.529856 267.022 -24.7805 0 2 0 4.99999987369e-05
163 "1A 1744-361" 0.685947 267.08 -36.1213 0 2 0 0.000280000007479
164 "IGR J17488-2338" 1.16866 267.162 -23.5908 0 1 0 0.00141999998596
165 "IGR J17487-3124" 0.59321 267.171 -31.3819 0 1 0 0.0500000007451
166 "H 1745-203" 0.0704567 267.223 -20.3672 0 1 0 0.0166699998081
167 "IGR J17488-3253" 0.260024 267.228 -32.9133 0 1 0 0.000980000011623
168 "AX J1749.1-2733" 1.55536 267.288 -27.5533 0 1 0 0.01600000076
169 "AX J1749.2-2725" 0.201305 267.292 -27.4211 0 1 0 0.0166699998081
170 "GRO J1750-27" 0.182865 267.3 -26.6472 0 1 0 0.033330000937
171 "IGR J17494-3030" 1.11081 267.349 -30.4998 0 2 0 0.000609999988228
172 "SWIFT J1749.4-2807" 0.45596 267.383 -28.1347 0 2 0 0.000530000019353
173 "IGR J17497-2821" 0.887426 267.408 -28.3548 0 2 0 0.000280000007479
